steps,x,y,z,roll,pitch,yaw,distance_to_obj,lidar
0,2.001453,2.999547,0.22684443089443038,1.3322675497850833e-19,2.7490911028938743e-21,-2.3613291368929e-24,1.415561484506413,[1. 1.]
50,2.001453460584118,2.9995469999492554,0.22390302549249727,-4.0259708907950955e-07,-0.0013346805693284294,5.222902327252751e-07,1.415561810387113,[1. 1.]
100,2.001453923370763,2.999546999898555,0.21998214471536787,-8.081377829626268e-07,-0.0026766221324730933,1.0479872950648987e-06,1.4155621378260568,[1. 1.]
150,2.001454388352451,2.999546999847898,0.21508244923858802,-1.2166631727917104e-06,-0.0040258198897775935,1.577117067991311e-06,1.4155624668179514,[1. 1.]
200,2.001454855521647,2.999546999797282,0.20920467596452047,-1.628214851948123e-06,-0.005382269037582494,2.1097057853996776e-06,1.415562797357469,[1. 1.]
250,2.001455324870765,2.9995469997467055,0.20234963780080728,-2.042834915579578e-06,-0.0067459647675023725,2.645780035252608e-06,1.4155631294392448,[1. 1.]
300,2.001455796392167,2.999546999696167,0.1945182234153066,-2.4605659603236043e-06,-0.008116902266474588,3.1853667610340025e-06,1.4155634630578775,[1. 1.]
350,2.001456270078163,2.999546999645664,0.18571139696766123,-2.881451083994074e-06,-0.00949507671680859,3.7284932632109927e-06,1.4155637982079294,[1. 1.]
400,2.0014567459210117,2.999546999595196,0.17593019781767233,-3.3055338852317833e-06,-0.010880483296235772,4.2751872007040295e-06,1.4155641348839254,[1. 1.]
450,2.0014572239129187,2.9995469995447603,0.16517574021066653,-3.7328584631218686e-06,-0.012273117177959867,4.825476592365252e-06,1.4155644730803545,[1. 1.]
500,2.0014577040460377,2.9995469994943553,0.15344921294005945,-4.16346941677608e-06,-0.013672973530707852,5.379389818466355e-06,1.4155648127916673,[1. 1.]
550,2.00145818631247,2.999546999443979,0.14075187898733307,-4.597411844884002e-06,-0.015080047518781333,5.936955622196787e-06,1.4155651540122791,[1. 1.]
600,2.0014586707042628,2.99954699939363,0.12708507513965925,-5.034731345233422e-06,-0.01649433430210848,6.4982031111722245e-06,1.415565496736565,[1. 1.]
650,2.0014591572134117,2.9995469993433064,0.11245021158541534,-5.475474014201765e-06,-0.017915829036296373,7.063161758954836e-06,1.415565840958865,[1. 1.]
700,2.001459645831858,2.9995469992930057,0.09684877148785188,-5.91968644621747e-06,-0.019344526872683853,7.63186140658634e-06,1.4155661866734806,[1. 1.]
750,2.0014601365514895,2.9995469992427264,0.08028231053718596,-6.367415733195659e-06,-0.02078042295839486,8.204332264133231e-06,1.415566533874675,[1. 1.]
800,2.0014606293641406,2.999546999192466,0.06275245648140673,-6.818709463947305e-06,-0.022223512436392076,8.780604912246998e-06,1.4155668825566738,[1. 1.]
850,2.001461124261592,2.9995469991422232,0.04426090863609318,-7.273615723564715e-06,-0.02367379044553116,9.360710303738053e-06,1.4155672327136648,[1. 1.]
900,2.0014616212355696,2.999546999091996,0.02480943737355607,-7.732183092784025e-06,-0.025131252120615306,9.94467976516496e-06,1.4155675843397963,[1.         0.99072128]
950,2.0056244982107545,2.999547135533336,0.025288023092541998,-8.346043659694467e-06,-0.027411040473389128,-0.00032753474282176963,1.41851562043609,[1.         0.99072128]
1000,2.009727975567402,2.999546351147414,0.025153433977329186,-5.661144442665315e-05,-0.025109597117135937,-0.00063412074541547,1.4214281860670617,[1.         0.99072128]
1050,2.014103999507672,2.9995446288299363,0.025267565748674604,-9.923765072023674e-05,-0.023418270282593155,-0.0006928952463159818,1.4245412845967247,[1.         0.99072128]
1100,2.0184878322911026,2.9995426414162853,0.025603597728074443,-0.0001364471378614839,-0.021716792217647992,-0.0006974295088563371,1.427666764644093,[1.        0.9940753]
1150,2.0228545227230224,2.9995405754426625,0.02613674009702522,-0.00016956515314609422,-0.02014612179703659,-0.0007056024175343721,1.430786648959425,[1.        0.9940753]
