steps,x,y,roll,distance_to_obj,lidar
0,1.0085465908050537,1.0,-2.375506483076606e-06,8.061202135079128,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8985798358917236, 0.8500432968139648]"
1,1.0170931816101074,1.0,-4.765102858073078e-06,8.06015544599714,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8958442211151123, 0.850172221660614]"
2,1.0256397724151611,1.0,-7.16315298632253e-06,8.059117684529689,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8931820392608643, 0.8503493666648865]"
3,1.0341863632202148,1.0,-9.566838343744166e-06,8.058088854126007,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9067739248275757, 0.8501474261283875]"
4,1.0427329540252686,1.0,-1.1908529813808855e-05,8.057068958207395,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9038327932357788, 0.8500314354896545]"
5,1.0512795448303223,1.0,-1.4269946404965594e-05,8.056058000167164,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9009631276130676, 0.850001335144043]"
6,1.059826135635376,1.0,-1.6648271412122995e-05,8.055055983370588,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8981656432151794, 0.8500571846961975]"
7,1.0683727264404297,1.0,-1.904068631120026e-05,8.054062911154844,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8954409956932068, 0.8501989245414734]"
8,1.0769193172454834,1.0,-2.1438736439449713e-05,8.053078786828957,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8927898406982422, 0.850313663482666]"
9,1.085465908050537,1.0,-2.3848057026043534e-05,8.052103613673747,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9063290357589722, 0.8501245975494385]"
10,1.0940124988555908,1.0,-2.6192567020189017e-05,8.05113739494178,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9033985733985901, 0.8500214219093323]"
11,1.1025590896606445,1.0,-2.855680213542655e-05,8.0501801338573,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9005396366119385, 0.8500041961669922]"
12,1.1111056804656982,1.0,-3.093794293818064e-05,8.049231833616195,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8977530598640442, 0.8500729203224182]"
13,1.119652271270752,1.0,-3.333035783725791e-05,8.048292497385935,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8950393795967102, 0.8502275347709656]"
14,1.1281988620758057,1.0,-3.573122376110405e-05,8.047362128305519,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.892399251461029, 0.8502799272537231]"
15,1.1367454528808594,1.0,-3.8143363781273365e-05,8.04644072948542,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9058858156204224, 0.8501036763191223]"
16,1.145292043685913,1.0,-4.049068957101554e-05,8.04552830400755,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9029660224914551, 0.8500134348869324]"
17,1.1538386344909668,1.0,-4.285774048184976e-05,8.044624854925189,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9001178741455078, 0.850009024143219]"
